first_swap,last_swap,n_swaps,token,total_usd
2026-08-06 17:19:32.000 UTC,2026-08-16 20:37:44.000 UTC,147,0x150228e517b1f0ca7feca76f42da070797065ec5,10778.009792218601
2026-08-04 19:58:51.000 UTC,2026-09-01 10:17:39.000 UTC,598,0xc8af2cc77bae2274ff7f8949e01e6c58f7a9c00d,37563.72826052986
2026-08-05 03:49:51.000 UTC,2026-09-01 08:40:25.000 UTC,2396,0x47be2c84a30d921bfcac1a1a3fdf8f082e274c41,192.5591300501668
2026-08-04 22:09:26.000 UTC,2026-08-10 22:42:15.000 UTC,265,0x9d60d91044f1c501fea4d2e95691b84edd8cf4cb,11035.774266598553
2026-08-04 20:24:08.000 UTC,2026-08-31 16:30:46.000 UTC,2921,0x2648d0e48a31b880c7f004e1778a68f9fb5bc92b,275.9981169022052
2026-08-04 18:09:02.000 UTC,2026-09-01 04:48:28.000 UTC,615,0xc9e9ab90654f82893d7fd18b62f694992e8cef29,
2026-08-04 21:03:48.000 UTC,2026-09-01 10:35:25.000 UTC,28066,0x320d9b0f1b438567d28452b715f8766a7617043e,153.43066121519135
2026-08-05 03:58:45.000 UTC,2026-09-01 05:44:57.000 UTC,3801,0xedf530ac305923314302a729464e942a0fedc342,37947.65535545723
2026-08-07 23:16:00.000 UTC,2026-09-01 05:59:17.000 UTC,496,0xf3fbe8e262d375d0d13392bc244bd2e903583c74,0.69596098776
2026-08-07 16:17:51.000 UTC,2026-08-31 22:29:50.000 UTC,29,0xd909ee8a68812dcb082128a08ec05be2804825af,789.8497121391501
2026-08-07 15:03:38.000 UTC,2026-09-01 10:00:19.000 UTC,21095,0xbbf2c91fdcc488ba736e0c38adc82c9a92597deb,4154340.5498332903
2026-08-07 21:27:29.000 UTC,2026-08-24 21:22:09.000 UTC,1618,0x6b94ebcc1a39fd332efbd03828c6e8c1d55a10df,158379.98829664764
2026-08-05 03:51:23.000 UTC,2026-09-01 06:47:49.000 UTC,2187,0xdf696153121fdf4719c1868c9b16751c778caaad,87.15094855068617
2026-08-07 16:29:56.000 UTC,2026-08-14 14:01:17.000 UTC,3383,0x722dad04eade14c4df0f1a8f7bdd0934d78f2795,280344.2289752533
2026-08-07 14:46:17.000 UTC,2026-08-10 18:01:22.000 UTC,808,0x190743b06c3d3d8d04ea5e34afbd0f6eb638e06f,52704.26237940754
2026-08-08 02:03:30.000 UTC,2026-08-12 19:15:47.000 UTC,282,0x5e568664993bf997acb08f70a182d7236745a649,18958.273626127386
2026-08-05 14:20:02.000 UTC,2026-08-31 19:03:47.000 UTC,1350,0xfc5bcfb6c3d698f6e1e466f28a6a32c5675d8b73,110040.39388913094
2026-08-07 07:21:10.000 UTC,2026-08-31 17:22:36.000 UTC,515,0xd8df888d3052243ff06a4f6ab12236d2cbad40f0,70615.25946377468
2026-08-06 12:01:19.000 UTC,2026-08-31 08:31:08.000 UTC,371,0xb2583b748ab5cc410975ed859c5569ee2435bc3d,189.63107871864
2026-08-05 21:15:02.000 UTC,2026-09-01 10:32:21.000 UTC,123031,0x9ca1cc0c90d97b4f36c5e2232d4fbd705a73c65d,18082508.35239249
2026-08-06 09:44:39.000 UTC,2026-09-01 10:36:44.000 UTC,24683,0x5173b8ea6923c2d40267890d45c46a3480954773,1805964.5932774658
2026-08-06 16:25:33.000 UTC,2026-09-01 10:31:43.000 UTC,4730,0x03a6ddb5cbcef1deed48b809de3520ebbe39a331,537044.7637593319
2026-08-07 01:52:37.000 UTC,2026-08-26 13:33:07.000 UTC,436,0x20c86dde46f7cb6b1adb52598d2f2da70ecef7d9,20524.47641325794
2026-08-07 14:53:10.000 UTC,2026-09-01 10:32:46.000 UTC,83987,0x49bac47750f3dcdba49350b5d74fd399e90f97c6,10603674.632721499
2026-08-06 15:49:07.000 UTC,2026-09-01 10:28:25.000 UTC,2061,0x0cc8522ca4f423638032d0211a6e823392a1eae1,205232.30227783968
2026-08-07 15:25:26.000 UTC,2026-08-31 14:47:10.000 UTC,447,0xf0f08156d456cc19db192d00f6e4b83631eab18d,4.1817487363
2026-08-08 01:38:34.000 UTC,2026-09-01 10:23:08.000 UTC,8152,0xfdf085fc400504ca734e9ef89c68d2b98e604c2c,804534.7341602521
2026-08-07 23:52:50.000 UTC,2026-08-30 10:27:27.000 UTC,183,0x61c91b626dcb95e093d948f5e5e4f068885b1953,
2026-08-06 14:32:24.000 UTC,2026-08-29 15:32:30.000 UTC,399,0xfd4388d021b2977718ea3ff19f66f7d49d307882,49546.12757168914
2026-08-07 23:09:02.000 UTC,2026-08-29 15:16:41.000 UTC,293,0x39643636c4b629732947a24a705fc5f41e4489ce,123.386253076344
