tx_hash,block_number,block_time,token,deployer,dex_factory,pair_token,pool,dex_id,launch_config_id,position_id,restrictions_end_block,initial_buy_amount
0x22344cf5367d83d30beae6cf998fa7403294307aba6b073bb47aa1ce996558bd,24591723,2026-08-01 00:00:16+00:00,0xb49fab59223b19bfba8bc1c963fe6cdbccab1e1c,0x611941354dbabc2a805cbd2671a4e6ed9d891024,0x1f7d7550b1b028f7571e69a784071f0205fd2efa,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x17a722686a0ae75a43346ba576508e1c4a058341,0,0,536695,25656293,1000000000000000000
0x6f8dbca3efe1fd0da45681d2bee837e9f8607f53d511150cb91df68933592726,24591878,2026-08-01 00:00:31+00:00,0xcc9ba787c68a2de36f0350dc84bdb978abf94b89,0x7de5b9c86d2b47607a2962043bb165f7befeb06b,0x1f7d7550b1b028f7571e69a784071f0205fd2efa,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x8f6cffeb9aa9d76061104cc6f169defcbfafb66f,0,0,536697,25656296,0
0x181b964705af1c047ba8f2b4645c3faaf442416d847558b1bebd459d27e7007b,24591881,2026-08-01 00:00:31+00:00,0x5c901308cbb36ca17bb04b88413c27d6ce2ad86d,0xa60e892ab5fbf4754e3052b7643e48a1bd6b3065,0x1f7d7550b1b028f7571e69a784071f0205fd2efa,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x44e1a90fc0fed24b00e82e2c961d25ec3dd24ada,0,0,536698,25656296,0
0x8b1a700b0956f8a1e311de7509de90aa838159cd9a5dcb5e1103f9635285b70d,24592191,2026-08-01 00:01:03+00:00,0x2bf8602669ba65a65f00ed76c879936ce5a2a409,0x9c874c0de67423ba53bfd88846a780baea633189,0x1f7d7550b1b028f7571e69a784071f0205fd2efa,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xa7e7a17642c56c56d9e58731e9e62eb158cdb34a,0,0,536701,25656298,0
0xcd10ff4b11dd9274b288bc5a777788c2b10b31107567e38165a798519b585f8d,24592237,2026-08-01 00:01:07+00:00,0xfbafde3b47e685dee6bfc92f7b998e27def37427,0x44bc6eca9660c6aa6f5ff3f8e723ddb1897186fe,0x1f7d7550b1b028f7571e69a784071f0205fd2efa,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xcbb1fc3ac68cc5a7189579db8055ec120de069f4,0,0,536702,25656298,0
0x9538afed043a0d86d753470c720d08093dd600cd32e43b3465583dc875fcb762,24592327,2026-08-01 00:01:16+00:00,0xd32d173b1a62c099214824cfc4a60e8a8d4cf9e0,0x96bb3da8c202cd35eb280ca191a9dcf1d316c27f,0x1f7d7550b1b028f7571e69a784071f0205fd2efa,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xac08462befc0168032929851555465faf51dc454,0,0,536703,25656300,0
0xc4eec157ac9304a89747f7821fb36334e5d3c7ab1521cdc73d5643d96b2b5a64,24592740,2026-08-01 00:01:58+00:00,0x417a8365a3d9c6e863736850ff7cdb2674c1bdab,0x1e660a9a1f1f08afef9c03c96d66260122464cf2,0x1f7d7550b1b028f7571e69a784071f0205fd2efa,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xda2bfc1a88041b891f1140ed6f6352df12a02cde,0,0,536705,25656302,0
0x46d467339763da1b4c90911aa8c29a0539236fd5529110b007ea31dce68f8382,24592749,2026-08-01 00:01:59+00:00,0xa96b27fdd5cede14ea847c79799da55063f378fb,0x7de5b9c86d2b47607a2962043bb165f7befeb06b,0x1f7d7550b1b028f7571e69a784071f0205fd2efa,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x6f81b19d395a57711549c5a47796cb2b51d280be,0,0,536706,25656302,0
0xf5f91bee5636aca1f8891d3efc71718b050f36cbf6d7789b34ada7bd28616a91,24592750,2026-08-01 00:01:59+00:00,0x6031632930bca3c51666b10fa405ebd29f223964,0xa60e892ab5fbf4754e3052b7643e48a1bd6b3065,0x1f7d7550b1b028f7571e69a784071f0205fd2efa,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x3d345576fbf773d8427dc928eddc92718912ebf5,0,0,536707,25656302,0
0xdacf1a9eb0098892f91e0469812d41882f0e24eb8f0b88672b7550c36526625b,24592772,2026-08-01 00:02:01+00:00,0x104989b8f260d7afa8edac8e2c80814d6301956c,0xc41cfc6a2b3840fda47ff662ad44cefacabad783,0x1f7d7550b1b028f7571e69a784071f0205fd2efa,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xcfad7ebf79d2a92f1fb7c1d5de1c21495f3f0dea,0,0,536708,25656302,0
