n_trades_24h,token,vol_usd_24h
8563,0x70b092d696f75a6dc756dccf85f5a8927efbafbc,80008.62164539701
972,0xbf631a8ac95e6601435ef1a396165274c233b748,60726.55333541609
3270,0xc1a42677dd61ee0aeb35532be970922ccfd54b53,33886.30709748566
5809,0xead42096dabc98ea29900fbb9a9e41a3906cc45a,14980.87031251928
4041,0x800ea121cc8690951cb9e66583a23a5e71341c0f,36511.06417114311
5294,0x6aa0b82d20ce006cf279a344039c169a3216b399,47494.504331279415
4315,0xedbf310415a73148faca164b8a13f2df8992fd49,45703.72077661224
3169,0xfa52c67792ff3443d9dba454cd271367254a0f1b,18832.790136604028
2264,0xf12e0d33d01706c9df0f4df867ef290fda886232,20682.041688691643
1306,0x578168aca414b03b34a7c0b2a6ef900c20de26f5,24028.784931434788
1601,0x51d188cff8e1a0f050958ce64cd7b14ec30eed80,18294.177500101585
3653,0x74fae853c853645c7bb68472c5681f8233371272,211068.4466819238
1431,0xefa78c6ef6b38b0388a9d6df49e8c07420e4835a,14112.996614085874
697,0x2b208f10c98b2374359acedd225ae0d143dd30a0,8006.264044910094
4758,0x9e814b2c52019c1e717628656f09c8ab147a6818,42729.110169854284
3195,0xf7b273853ccae8cf2a255990ca83c33a6db46415,31521.736522963605
2656,0x1a9dac2714cdd2e338607ed77b7ae1c01173f64c,128485.6107939602
407,0xd80bb4deecdb9b37cdb25f63a8d47975088f49d2,22357.795348988115
876,0x31d14f5846566fff94e6934d2103daa920fc398a,10236.333322595541
2386,0xa081d92d2302d1f59a517613bcce04f6a83fa601,22084.953834894226
4857,0xb2ef1b275f4a708c1188612e70d6d8513637c64f,40834.235134225564
3792,0xdb8fe34163ceeb372ce3b53c77e3e7e97993cd71,61955.79487470446
6049,0x0715fac995cc0bd31b18f8f11a78d74e8ab8c6e1,47163.88313510819
3676,0x53051a979260b4d2d847584e69cb0d1f07ff5e50,33181.81092701682
3179,0xaeca4e44f0df76ada9b5e76419b561eb40f4f34e,38246.38018200546
910,0x2a59ee93d8d5594398f7a11d9c859e63f38800b8,18802.598837330435
194,0xf44f840e774c2fef815129e61b09ee5411a4e182,11984.359517654095
1615,0x2a30a312425f64c4354622a7bee1a4da2127a1ae,15664.579726659134
1547,0x67426314aaa74e0b94b32c05b9a8b744b362c5b6,34549.41808790078
2788,0x5b064348e61d48cc93323edac3e35438502df81c,25465.131668666392
1630,0x6a2617da18333dcf55cf0331d6c1805b158da8d5,15680.038100539645
4957,0x4b06a9bbda63538f47288f44018377647fa62a04,56178.9973209896
2466,0x400ef5648167834e077983a903b184314f3c340b,159737.08494537996
96,0xa33c78f7d6f6576ca9d6cda5176c253cde883589,2377.589161294834
1651,0x66bd2f4131f91c3361b22ed2cb11538e96b9e51f,18179.09402091463
984,0x0126dd1086054ec044f59a461fcf648b63fbab5a,19609.038150580367
2263,0x512b99e1c565fc34fa45fe1678f8065d59fe2e0e,22786.26272427296
1705,0xd349f988d43beed8d50bee8c0fb6ba057bbc2f59,17824.118396540045
76,0x564ec528b8ba493fc06a1a92dc3426033dd441ec,2391.9904164130076
761,0xf67e3e4598a5feed961084a86fe86b2e17647e0e,15947.937305479074
302,0x0d7a02e747ffe12ce3ce4c5c5e72e91105e9e04c,12732.661900863892
478,0x7c3f3944798fe562f971d8099cb8b22a17359341,31259.1897312803
845,0xc65b887ef33aea277572b438f3ba9340ef178289,10303.646305710876
4040,0x1b10fe9c94d62d2c3adad27ac532bfc8912be7e0,43133.387427467715
132,0x3dbeb0ccae547fe3e0e83d0203b01a5e10f0bd0c,6383.402813673845
71,0x630f2fa1c88edfe999ce7c43ac23070ab6a9ba5d,2369.617636098331
322,0xd2a41401bb9a51b56f6cbf658acb8af7c8dfc6a0,20188.6607712655
1360,0x97324ab2c516cb4fadd33d438ed4cf75658cf0d6,19842.457301132894
1494,0x1766961055b16c9af1767a2485a16693433c85be,16844.69664109421
1418,0x05dd019864f222fb432d1f1c8ae0ff51ca658b94,16106.656911971753
1034,0xa75f5ca17a62c9121a1f281035a04e633e77bb51,16738.110688073542
779,0x8258c7ba5f9632877b7f4e81e1a5168b75f3809c,9707.903795035012
781,0x0742d650f7691fd30a8dadafe6d4906796e165d4,71237.14049516512
1586,0x40e27c6d32d38e08104091e6ab654d4edf23ad21,16434.93795955178
17,0x3b9e44c9045ef0f89732f4b1b0d951fc6b4e7f2f,150.50369417473817
673,0x2f5eaf94fc8eee4db318cf06ba4f8764d8f589e6,34925.14150894149
137,0x230aa55efc348889939e2876802f1bffceee065d,7550.686396397471
439,0x3a45f63781c6d7ee14c4b577add135a4307b6f69,18519.301941532394
486,0x4e5a799bb4dd30d80fac9c129670cb1328ca12d6,11137.708886365397
34,0x8c62b04fa6a8315d2512526cb5f42bc98374aff7,12937.877981476442
849,0xdc6a15243cc40dd3aa419a7d66289ec35dcd3f87,17124.304399670298
408,0xc460862ba8483a433ea7f5bcfd4261498e6395ea,18978.033119982454
111,0x330d9798c062bcb4381a0668e863ba4ddf8a95b6,2012.3497049749365
812,0x31f4a8a65a7e386873859a5ad19075176c138a30,11617.316758485644
31,0xc9e9613b063e7b88141d0640db08beeed3ac7ca8,318.2183442689133
8,0x0af09d86156525365ad1a7eae2af6bbc0fa05c5e,417.0348166839198
92,0x4ba4da27bf99cc169b3525d4716b35b493711038,4166.005555672956
37,0xe6275b673d8a5958b051cc7841acc5733cd06097,437.7354700900388
965,0x67653f7fc33de6842374693388a400e758cc02de,74186.90095143142
72,0xd40e681d411ccc0591d5f0ae65224c57087379d9,2393.875804786438
72,0x5ed9c9482a03d56583758b7d6ec3c58660663a2b,2403.0611345724187
42,0x5a830c49e42a882a31baeddd0270f4cc5756d19b,1730.5589426881506
73,0xa2cd2dfd0899bfe67874f980c162d2d2eccfa255,2387.0508999397193
481,0x086b37d19db923e266badcde647ef16258265fa6,11505.651491921848
66,0x66f7148728308ab5a128211693ce0bde3f223119,3132.5026790580523
71,0x851ffd00ee3b6850bc71dc3362e56bc4ded5e662,2397.119440203857
37,0x0519b04e87d6a09b9ce175daaf158f536e6e7c3c,1793.968966594319
43,0x30d6f4348fd4e3c059ba1da5a3f14625574288fe,453.0126247745571
193,0xb68c5feec65f8b01f7343f066fc82be07adbe107,16696.812136220742
5,0x62c92a5b4382b34b81432dc6af519de33cc9446c,76.3411770098449
83,0x2aef79cbda47b593d6d7bbc597b4041c82994deb,2469.598211242745
70,0xd9cf0d8be9d8faa44b09e4abbeaece8f070a1be4,3607.4558653336935
7,0x3e9db031d948c4cea36460df75bbc11851367f56,437.3298289505118
370,0xa4c9895c358f647ab05a2317b713ed42be594d5b,15894.013681738057
14,0xd63de3dca6f1d2c7594815aa6e5bfbb0c9ac36b1,600.3665302499477
11,0x57dcc09911572b1ee702e5b006f4c2e36e6a1380,652.877002153803
58,0x8ec95adf474c464237d5ec129c5c90095b9182fb,2640.406223476607
2,0x7c61373462db0c6d5e56b6030c6f82c7e5f22135,36.58609707713849
90,0xae515c40f5ab6a68dc34273d17cdf1a42f51cc05,7153.38138882307
35,0x7e6b1a1918558ba913039e9bdc80130b07dccae7,569.7494921562618
8,0x09f4174dd9774436744c85ebd8226446f3ba9e6d,196.03919686225962
28,0x7964f330afe62d2c282bca8f22d5a56ac15eb506,1254.8327870423286
22,0x7295db0649bca031dbd6fe00207044c304502000,819.2193949315761
171,0x1ce35bcb3e7a61237b5b8ada0510a7adaf2a4952,3359.977356464461
72,0xf73db31fcfaa889cd90d7a537a0093ced7880a73,2425.919859137097
9,0xcc03f920274907204e5b1463e1a4ec865283023b,195.84668696576233
44,0xcd9ff1c1d0b80f8dec2a666e86abbca4efd426fb,520.6808384631992
53,0xbe47a299095d5340030b40fa5820f3177beceffe,2281.799177530615
44,0xadd4eac9b1051cd1e8e888e70470a561a8e0e0df,7888.533902496571
40,0x88bd126dda63e96408c5b51375402b67e2e5a769,877.7629028009361
33,0x249e9a0fbb51fbc9b07c40a0399954c07d539771,1922.1042171851802
145,0x4bb83251497e3585fb53a072bbc975379087c0e3,8274.217737034904
6,0xe4f6821589dd5b7071dc78b2a4745cdafc771846,0.33580979999999994
17,0x8872c500882e2c2cb2fba6893befb8fb04b8188a,362.46268940798643
74,0xf196fad14c2d9556bdecd42d777eb4b01a728d7e,2392.50019474627
8,0x0ace7b535621dca96c757b0cfaaa4df14af8da67,252.39281660782058
214,0x29cd65c0780b3800aae17b6e2d2267824ee87ed5,8185.6017230062635
43,0x5debd91281c3c443b27147d8f67930faa58afdd5,499.89473057012196
44,0x6549e19e2868fd6195aa6c7137fe625bf321f48c,543.6023361841391
23,0x3499364aa2a104f66842b69db79fd53087da6def,6605.172731176947
28,0x2d08feb6ceb5e587b4e72c0c65b763c4244dfa96,1984.5516657470594
3,0xe9e3a53fee017db2afc15e6199069d300e8229e3,184.98715227195618
16,0x2e48070f17be885b10bbf653f78927b305a9d84a,588.6638587271644
12,0xad21e3d675a7384698284b2087bae1998c5e84bf,247.85015525952093
14,0x626f93f68b0798e797049731b17ed67985e15f19,634.6309515889062
45,0x31d45b3a96e9b4243241aad507c3a3dd82ebcfdc,531.202330963097
29,0x1ffba05c436f885044f5a34bf60e3d7497cfca72,1300.2802261657719
6,0x1f3cce374f8af5b4a1105b1485727936dc9af832,76.01550520611946
13,0x3836a8d8616f1c627e759c03b58aa9c01b817012,534.3863123969185
6,0xf17c24d6bd82d31c3854a3eae19cee32a023f916,22.148411592936178
2,0xb0a11dd339f6a364c61c9671599068e1598cffc9,28.850348216867364
4,0x4f83dd561fa6f38f4f10f60259b2943d19745b4e,132.3865203595973
15,0x2655e03cd298cbf865fbcd3bdffef4c9d3f109db,404.36718012277106
12,0x6102dfe809cd0f6192c57659f98dbabb8fa9c0d2,717.7710111398272
32,0x17d1f5fa1bb48e1b6bcdcfa669c6d074c495324d,1658.8589218112304
26,0x000d52e2cd8dca360be74f67acb328a0702dd447,1092.298645477453
21,0xf2e97515997d9b511cdce480ed2f4e87d8ed1eb8,906.8111105970222
26,0x68f5745ddd55879f953b1c2b5e0e2f8803f48da1,805.4724311282446
9,0x07c12a5d34aa983cf89526fbdb613283b9e1133d,77.32296274151898
8,0x45956b3a25390637d1df0e5cfabd942c6491c5f5,365.30098460294533
12,0x05307c1124ebe29bcbb34139dcefe3943986dc10,316.55808145516767
8,0xa748432f632353a864beda42ab6fd353423c18d4,484.5279127547172
54,0xbca4ba30aa7f11c2ae621f940d297a9456245a4b,2463.0479963738426
72,0xb813106a549b0ad36dc50c0ec83caaf691269d4b,2426.2151184612844
12,0x5d12ae2d6593867a6cf2756544c87607cf4ea407,551.7434465356534
13,0xa9d61c3d4b663ecf08c8dbebdcd4b2e3b77dbf71,568.1612442295412
74,0xb78aaf18b32ffc3b6474c45e43aecc5bff69e74d,2405.937142150014
2,0xccff494c4c77858bb86c3dbcff99a5dc13b3b5fe,0.19220005774849525
