deployer,cluster_id
0x792dd4c93cfa919e141e6a0be37360373633cdad,0x96bb3da8c202cd35eb280ca191a9dcf1d316c27f
0x96bb3da8c202cd35eb280ca191a9dcf1d316c27f,0x7d22d3dd32f00848a54ebe00c00a9082a18d4e66
0x7de5b9c86d2b47607a2962043bb165f7befeb06b,0xfd084e477f4cb05f4cd83aad32bd7110a3393ad0
0x7d22d3dd32f00848a54ebe00c00a9082a18d4e66,0x792dd4c93cfa919e141e6a0be37360373633cdad
0xa60e892ab5fbf4754e3052b7643e48a1bd6b3065,0xf70da97812cb96acdf810712aa562db8dfa3dbef
0x5af2f44ef5714233890efca9c350514749e2b72b,0xa9707935dd88323fba9aa9d6a95e3ab82c1ba786
0x3001012f02c9bbde1a4caf41040120ee6746f194,0x026ba0aa63686278c3b3b3b9c43bedd8421e36cd
0x777a1e72cb4bc15cd171eb8a5584599d71ae72ff,0xf47a150692e4d4223ff7d85150e17cf5cf105be8
0xa219966bd6217c06d13e5788386fed7e0ac77575,0x376d633018680caa4ec3f3e735a2797abf7f9cb2
0x1a9b2965c9c741fbddeeb944b307b2904be5ccf0,0x5d095c81f7ab2d88c6381104ecb6730590f99a04
0x1527bbacf6ad55237dff4905c3997ce6aaec7d55,0x9394e87bc71023fbe9b859d6c2d2de3c60ee6eaa
0x9ba8485097a6341905ff3458555ac1a3dca3079a,0xce5393752c8c19e98c3facc1636b0573c61279b1
0x9361c7533216ca1d5ebe22a6b89351beb94a0357,0x0eaced04ec017ea0d9985b6bcd16657b5b2dac78
0xe3c1fb149f6061605f82a2509cf1d6141af32c3b,0xbe5ca661d398e265ba84ed4b7a0887a57c68a39a
0x251d3bd92a7ea899156b90ac2250b891d758255f,0xe3c1fb149f6061605f82a2509cf1d6141af32c3b
0x39296166c0dcc770f30745dd2253c9b73dc1ec4a,0x0eaced04ec017ea0d9985b6bcd16657b5b2dac78
0x36cf37c0bdf51299a59c376790a360b2db66fdc0,0x0eaced04ec017ea0d9985b6bcd16657b5b2dac78
0x1787d68e76ffcf39fb89e70a44daa07ecc511294,0x8afa869e6fc12a9b93d672cf0b06c87415cac421
0x31049544eddbef8502419e232ef58b27a02487ff,0xf47a150692e4d4223ff7d85150e17cf5cf105be8
0xcaefbb5e99d0c48a7aa49936662b174a3c2ead61,0xf70da97812cb96acdf810712aa562db8dfa3dbef
0x9e8477412ba258e0aff78b1a8590b1926dd92931,0x0eaced04ec017ea0d9985b6bcd16657b5b2dac78
0xc14a2637f27ca988633d58154cf4b35389f86700,0x0eaced04ec017ea0d9985b6bcd16657b5b2dac78
0x38f4fa33cf8292c3671f3bab1aa4d2cfff14f108,0x0eaced04ec017ea0d9985b6bcd16657b5b2dac78
0xabe688d9e463887c24464a70ec399205e82612f6,0x5d095c81f7ab2d88c6381104ecb6730590f99a04
0xecb429d40bde67bac0f3c8806e5a0f402134eb72,0xa9707935dd88323fba9aa9d6a95e3ab82c1ba786
0xff39c17ec51a3c94411012314c90d572c6077312,0x0eaced04ec017ea0d9985b6bcd16657b5b2dac78
0xa2db7ad227c2a3341097872388d76f8a39703ab8,0xc7e4ff08130b5951eb04eef415555d4b17197d55
0xfd54b63d0ea8f96a3a04af315c13c6b8488b5303,0xc7e4ff08130b5951eb04eef415555d4b17197d55
0x6a2953b9d68ed5921aa5873a97c9367bec3b16d6,0xc1e4ee3223d7700062c5db82694db7af1b4ceeb5
0x61ec2b48f59a0192b87605ea84a2f4476bd4b40b,0x5d095c81f7ab2d88c6381104ecb6730590f99a04
0x6c8ab6bd67d4df8d131e952edcb00b7e77183b60,0xf70da97812cb96acdf810712aa562db8dfa3dbef
0x821544d298d60a668e486ddf1a7c1e0e767da128,0xf47a150692e4d4223ff7d85150e17cf5cf105be8
0xfe71ac916eba9789f0c2c130d01f83b7baaae3ec,0x09e20ee72e7fdaca726ec0fc23abadeea4d3d962
0xb7371d40f06cfd8d224822ffb83ff97c1f6ab541,0xc7e4ff08130b5951eb04eef415555d4b17197d55
0x0c2b7db125d18cb7a47a7fcee5c6f822d8db0b6a,0x32f0a1e32536ea119938d791ec52d482e1fde5f2
