block_time,current,feed_address
2026-07-24 00:01:36.000 UTC,10072135043,0x0e96b7708487f91baac09697593d3e8bf253f2d8
2026-07-27 00:00:49.000 UTC,10074136958,0x0e96b7708487f91baac09697593d3e8bf253f2d8
2026-07-28 00:01:15.000 UTC,10075137916,0x0e96b7708487f91baac09697593d3e8bf253f2d8
2026-07-24 03:44:05.000 UTC,31799000000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 08:04:11.000 UTC,31958890000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 09:38:43.000 UTC,32122015000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 10:44:14.000 UTC,31960835000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 12:47:48.000 UTC,31788275000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 13:30:49.000 UTC,31993000000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 13:49:19.000 UTC,32186850000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 13:58:19.000 UTC,32348500000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 14:04:50.000 UTC,32162000000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 14:08:20.000 UTC,31990500000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 14:43:20.000 UTC,31811500000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 15:00:21.000 UTC,31997905000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 15:29:51.000 UTC,32166500000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-24 15:58:52.000 UTC,32001690000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
2026-07-27 00:00:22.000 UTC,32197500000,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd
